1 0
2 4
3 7
4 17
5 32
6 43
7 62
8 74
9 96
10 119
11 149
12 174
13 202
14 233
15 266
16 300
17 340
18 376
19 420
20 462
21 509
22 556
23 608
24 661
25 715
26 772
27 831
28 885
29 939
30 1007
31 1082
32 1146
33 1210
34 1290
35 1348
36 1428
37 1496
38 1587
39 1664
40 1745
41 1831
42 1925
43 2004
44 2097
45 2182
46 2297
47 2375
48 2482
49 2575
50 2693
51 2793
52 2899
53 3001
54 3113
55 3228
56 3334
57 3456
58 3571
59 3691
60 3791
61 3939
62 4054
63 4176
64 4316
65 4458
66 4574
67 4701
68 4867
69 4988
70 5118
71 5246
72 5397
73 5533
74 5696
75 5825
76 6001
77 6147
78 6293
79 6475
80 6622
81 6755
82 6925
83 7109
84 7289
85 7431
86 7589
87 7794
88 7958
89 8149
90 8353
91 8520
92 8692
93 8865
94 9069
95 9244
96 9442
97 9604
98 9818
99 10022
100 10205
