1 0
2 2
3 6
4 13
5 21
6 31
7 45
8 59
9 77
10 98
11 117
12 140
13 164
14 197
15 225
16 257
17 290
18 329
19 367
20 405
21 445
22 491
23 527
24 581
25 631
26 680
27 734
28 793
29 854
30 911
31 977
32 1032
33 1107
34 1172
35 1247
36 1319
37 1373
38 1465
39 1546
40 1630
41 1700
42 1791
43 1897
44 1967
45 2061
46 2152
47 2235
48 2350
49 2435
50 2538
51 2649
52 2756
53 2860
54 2970
55 3079
56 3213
57 3303
58 3428
59 3523
60 3677
61 3783
62 3938
63 4040
64 4190
65 4324
66 4428
67 4570
68 4730
69 4847
70 4973
71 5124
72 5297
73 5410
74 5561
75 5718
76 5888
77 6048
78 6173
79 6288
80 6457
81 6686
82 6806
83 6993
84 7132
85 7368
86 7523
87 7673
88 7846
89 8017
90 8198
91 8382
92 8578
93 8716
94 8965
95 9152
96 9356
97 9509
98 9783
99 9830
100 10172
