1 0
2 3
3 4
4 11
5 23
6 28
7 33
8 48
9 69
10 92
11 120
12 134
13 145
14 157
15 166
16 198
17 237
18 277
19 325
20 369
21 422
22 476
23 538
24 567
25 590
26 617
27 636
28 664
29 686
30 711
31 729
32 792
33 868
34 942
35 1028
36 1106
37 1196
38 1286
39 1386
40 1475
41 1576
42 1675
43 1787
44 1891
45 2006
46 2121
47 2247
48 2309
49 2357
50 2411
51 2451
52 2508
53 2552
54 2604
55 2641
56 2701
57 2746
58 2800
59 2839
60 2895
61 2936
62 2987
63 3023
64 3150
65 3297
66 3440
67 3602
68 3746
69 3910
70 4070
71 4248
72 4403
73 4577
74 4746
75 4935
76 5106
77 5297
78 5482
79 5688
80 5865
81 6061
82 6253
83 6466
84 6660
85 6874
86 7082
87 7310
88 7515
89 7737
90 7957
91 8194
92 8415
93 8656
94 8891
95 9146
96 9273
97 9367
98 9479
99 9559
100 9677
