1 0
2 4
3 7
4 17
5 32
6 42
7 51
8 72
9 99
10 129
11 165
12 186
13 205
14 227
15 244
16 286
17 336
18 386
19 445
20 501
21 565
22 631
23 704
24 746
25 782
26 822
27 854
28 897
29 931
30 970
31 1001
32 1080
33 1169
34 1260
35 1363
36 1456
37 1563
38 1668
39 1785
40 1891
41 2010
42 2126
43 2255
44 2374
45 2509
46 2641
47 2784
48 2865
49 2929
50 3003
51 3060
52 3141
53 3202
54 3273
55 3330
56 3409
57 3471
58 3545
59 3603
60 3681
61 3741
62 3812
63 3865
64 4014
65 4183
66 4347
67 4531
68 4697
69 4885
70 5064
71 5267
72 5445
73 5641
74 5834
75 6046
76 6238
77 6451
78 6661
79 6891
80 7089
81 7311
82 7526
83 7762
84 7978
85 8215
86 8448
87 8701
88 8928
89 9177
90 9419
91 9683
92 9926
93 10191
94 10451
95 10729
96 10881
97 11002
98 11138
99 11241
100 11389
