60 1  60  60  330
60 2  119  121  333
60 3  177  162  336
60 4  234  185  342
60 5  290  198  324
60 6  345  213  323
60 7  399  235  329
60 8  452  256  358
60 9  504  264  343
60 10  555  291  355
60 11  605  305  370
60 12  654  313  357
60 13  702  323  377
60 14  749  323  374
60 15  795  342  388
60 16  840  346  389
60 17  884  350  388
60 18  927  368  396
60 19  969  384  394
60 20  1010  385  408
60 21  1050  389  403
60 22  1089  408  419
60 23  1127  409  417
60 24  1164  418  423
60 25  1200  429  426
60 26  1235  434  430
60 27  1269  439  435
60 28  1302  456  437
60 29  1334  456  446
60 30  1365  471  457
60 31  1395  470  448
60 32  1424  482  452
60 33  1452  490  466
60 34  1479  493  466
60 35  1505  513  478
60 36  1530  515  481
60 37  1554  528  485
60 38  1577  527  482
60 39  1599  545  502
60 40  1620  546  505
60 41  1640  551  512
60 42  1659  564  524
60 43  1677  571  517
60 44  1694  576  527
60 45  1710  592  536
60 46  1725  593  539
60 47  1739  602  550
60 48  1752  612  560
60 49  1764  615  550
60 50  1775  626  566
60 51  1785  631  568
60 52  1794  644  577
60 53  1802  647  576
60 54  1809  651  589
60 55  1815  658  591
60 56  1820  659  583
60 57  1824  671  602
60 58  1827  688  615
60 59  1829  696  616
60 60  1830  696  628
