100 1  100  100  603
100 2  199  201  594
100 3  297  262  604
100 4  394  304  637
100 5  490  316  619
100 6  585  342  635
100 7  679  389  623
100 8  772  416  636
100 9  864  446  657
100 10  955  441  648
100 11  1045  481  663
100 12  1134  475  651
100 13  1222  515  677
100 14  1309  514  674
100 15  1395  533  677
100 16  1480  543  678
100 17  1564  554  690
100 18  1647  584  695
100 19  1729  575  706
100 20  1810  617  709
100 21  1890  631  714
100 22  1969  626  719
100 23  2047  620  716
100 24  2124  648  731
100 25  2200  656  722
100 26  2275  674  721
100 27  2349  686  730
100 28  2422  692  757
100 29  2494  692  742
100 30  2565  700  755
100 31  2635  717  757
100 32  2704  723  760
100 33  2772  733  772
100 34  2839  738  765
100 35  2905  757  774
100 36  2970  775  779
100 37  3034  780  792
100 38  3097  775  798
100 39  3159  793  814
100 40  3220  806  790
100 41  3280  806  805
100 42  3339  821  824
100 43  3397  825  824
100 44  3454  842  826
100 45  3510  848  838
100 46  3565  857  842
100 47  3619  870  847
100 48  3672  879  862
100 49  3724  883  854
100 50  3775  893  864
100 51  3825  906  872
100 52  3874  911  879
100 53  3922  921  886
100 54  3969  931  895
100 55  4015  938  870
100 56  4060  953  905
100 57  4104  945  909
100 58  4147  966  917
100 59  4189  964  913
100 60  4230  978  928
100 61  4270  980  924
100 62  4309  995  935
100 63  4347  989  932
100 64  4384  1005  954
100 65  4420  1018  957
100 66  4455  1020  964
100 67  4489  1029  963
100 68  4522  1042  959
100 69  4554  1051  985
100 70  4585  1059  988
100 71  4615  1076  1006
100 72  4644  1071  985
100 73  4672  1084  993
100 74  4699  1111  1019
100 75  4725  1100  1020
100 76  4750  1115  1028
100 77  4774  1128  1042
100 78  4797  1129  1028
100 79  4819  1140  1040
100 80  4840  1139  1042
100 81  4860  1159  1065
100 82  4879  1174  1071
100 83  4897  1172  1071
100 84  4914  1183  1079
100 85  4930  1185  1076
100 86  4945  1199  1095
100 87  4959  1197  1085
100 88  4972  1224  1116
100 89  4984  1224  1109
100 90  4995  1234  1110
100 91  5005  1229  1117
100 92  5014  1251  1121
100 93  5022  1263  1143
100 94  5029  1262  1132
100 95  5035  1280  1156
100 96  5040  1277  1145
100 97  5044  1294  1162
100 98  5047  1300  1173
100 99  5049  1308  1177
100 100  5050  1311  1184
