90 1  90  90  488
90 2  179  181  500
90 3  267  242  552
90 4  354  275  560
90 5  440  317  552
90 6  525  338  563
90 7  609  352  574
90 8  692  375  556
90 9  774  401  583
90 10  855  407  586
90 11  935  421  594
90 12  1014  433  587
90 13  1092  468  593
90 14  1169  481  601
90 15  1245  485  608
90 16  1320  496  612
90 17  1394  520  625
90 18  1467  506  600
90 19  1539  537  627
90 20  1610  564  625
90 21  1680  552  624
90 22  1749  575  631
90 23  1817  585  639
90 24  1884  602  647
90 25  1950  606  642
90 26  2015  612  640
90 27  2079  622  667
90 28  2142  633  672
90 29  2204  635  653
90 30  2265  650  683
90 31  2325  648  678
90 32  2384  653  679
90 33  2442  670  690
90 34  2499  687  704
90 35  2555  696  702
90 36  2610  706  707
90 37  2664  709  716
90 38  2717  728  731
90 39  2769  746  729
90 40  2820  734  729
90 41  2870  757  735
90 42  2919  750  730
90 43  2967  770  752
90 44  3014  777  755
90 45  3060  780  755
90 46  3105  797  757
90 47  3149  805  775
90 48  3192  813  773
90 49  3234  813  767
90 50  3275  830  793
90 51  3315  844  799
90 52  3354  840  799
90 53  3392  850  804
90 54  3429  865  822
90 55  3465  867  817
90 56  3500  875  814
90 57  3534  872  821
90 58  3567  890  827
90 59  3599  906  852
90 60  3630  903  858
90 61  3660  917  858
90 62  3689  923  855
90 63  3717  931  867
90 64  3744  939  871
90 65  3770  940  876
90 66  3795  953  874
90 67  3819  944  866
90 68  3842  974  902
90 69  3864  972  898
90 70  3885  992  911
90 71  3905  992  917
90 72  3924  1010  922
90 73  3942  1019  932
90 74  3959  1029  934
90 75  3975  1027  938
90 76  3990  1044  964
90 77  4004  1053  955
90 78  4017  1050  949
90 79  4029  1069  975
90 80  4040  1074  976
90 81  4050  1086  979
90 82  4059  1088  988
90 83  4067  1081  969
90 84  4074  1104  990
90 85  4080  1121  1000
90 86  4085  1125  1012
90 87  4089  1129  1018
90 88  4092  1129  1005
90 89  4094  1148  1034
