50 1  50  50  224
50 2  99  101  242
50 3  147  124  254
50 4  194  155  255
50 5  240  161  281
50 6  285  186  282
50 7  329  206  281
50 8  372  217  281
50 9  414  228  288
50 10  455  242  297
50 11  495  259  294
50 12  534  273  301
50 13  572  274  298
50 14  609  283  310
50 15  645  291  318
50 16  680  297  314
50 17  714  307  322
50 18  747  323  328
50 19  779  310  326
50 20  810  337  341
50 21  840  352  336
50 22  869  354  344
50 23  897  357  359
50 24  924  365  354
50 25  950  375  350
50 26  975  382  365
50 27  999  391  371
50 28  1022  397  377
50 29  1044  405  382
50 30  1065  405  384
50 31  1085  417  393
50 32  1104  421  396
50 33  1122  432  394
50 34  1139  443  411
50 35  1155  442  400
50 36  1170  454  422
50 37  1184  460  421
50 38  1197  464  426
50 39  1209  480  435
50 40  1220  489  441
50 41  1230  498  445
50 42  1239  497  448
50 43  1247  505  449
50 44  1254  510  451
50 45  1260  526  471
50 46  1265  533  471
50 47  1269  535  468
50 48  1272  547  479
50 49  1274  553  494
50 50  1275  561  491
