30 1  30  30  125
30 2  59  61  130
30 3  87  76  132
30 4  114  95  146
30 5  140  104  141
30 6  165  126  157
30 7  189  126  151
30 8  212  137  156
30 9  234  142  154
30 10  255  153  166
30 11  275  162  167
30 12  294  169  168
30 13  312  176  169
30 14  329  179  178
30 15  345  191  181
30 16  360  193  188
30 17  374  201  192
30 18  387  212  196
30 19  399  219  206
30 20  410  219  203
30 21  420  235  212
30 22  429  243  217
30 23  437  245  220
30 24  444  255  229
30 25  450  259  225
30 26  455  263  233
30 27  459  273  236
30 28  462  272  243
30 29  464  284  247
30 30  465  289  251
