70 1  70  70  415
70 2  139  141  400
70 3  207  162  407
70 4  274  214  420
70 5  340  258  412
70 6  405  250  413
70 7  469  266  420
70 8  532  296  415
70 9  594  312  416
70 10  655  326  430
70 11  715  351  437
70 12  774  358  444
70 13  832  379  443
70 14  889  385  449
70 15  945  386  449
70 16  1000  396  457
70 17  1054  416  467
70 18  1107  416  470
70 19  1159  434  471
70 20  1210  437  472
70 21  1260  448  481
70 22  1309  461  479
70 23  1357  467  485
70 24  1404  483  496
70 25  1450  488  497
70 26  1495  494  507
70 27  1539  498  513
70 28  1582  508  506
70 29  1624  519  514
70 30  1665  525  522
70 31  1705  528  528
70 32  1744  545  541
70 33  1782  554  548
70 34  1819  557  536
70 35  1855  565  546
70 36  1890  578  560
70 37  1924  587  569
70 38  1957  595  575
70 39  1989  602  558
70 40  2020  618  581
70 41  2050  626  587
70 42  2079  630  589
70 43  2107  625  592
70 44  2134  646  610
70 45  2160  659  603
70 46  2185  663  609
70 47  2209  669  621
70 48  2232  681  625
70 49  2254  687  634
70 50  2275  690  623
70 51  2295  700  639
70 52  2314  706  638
70 53  2332  718  656
70 54  2349  726  662
70 55  2365  727  669
70 56  2380  742  671
70 57  2394  751  681
70 58  2407  751  679
70 59  2419  758  694
70 60  2430  767  692
70 61  2440  768  710
70 62  2449  780  707
70 63  2457  789  715
70 64  2464  800  726
70 65  2470  803  728
70 66  2475  810  734
70 67  2479  821  738
70 68  2482  829  751
70 69  2484  838  744
70 70  2485  850  768
