40 1  40  40  202
40 2  79  81  186
40 3  117  106  190
40 4  154  125  206
40 5  190  147  209
40 6  225  148  198
40 7  259  170  218
40 8  292  176  221
40 9  324  185  223
40 10  355  207  228
40 11  385  205  225
40 12  414  217  228
40 13  442  229  240
40 14  469  234  240
40 15  495  240  246
40 16  520  245  239
40 17  544  253  253
40 18  567  264  265
40 19  589  267  259
40 20  610  276  267
40 21  630  293  275
40 22  649  297  282
40 23  667  305  278
40 24  684  306  286
40 25  700  319  293
40 26  715  321  296
40 27  729  332  306
40 28  742  336  313
40 29  754  337  307
40 30  765  347  318
40 31  775  353  324
40 32  784  355  325
40 33  792  371  331
40 34  799  378  338
40 35  805  379  344
40 36  810  393  357
40 37  814  394  349
40 38  817  410  361
40 39  819  413  368
40 40  820  417  372
